"Date","Price","Open","High","Low","Change %"
"Oct 14, 2012","1.483","1.337","1.544","1.334","10.51%"
"Oct 07, 2012","1.342","1.367","1.406","1.325","-4.89%"
"Sep 30, 2012","1.411","1.230","1.418","1.208","15.94%"
"Sep 23, 2012","1.217","1.336","1.377","1.197","-11.36%"
"Sep 16, 2012","1.373","1.474","1.514","1.337","-7.23%"
"Sep 09, 2012","1.480","1.318","1.497","1.277","13.41%"
"Sep 02, 2012","1.305","1.151","1.416","1.140","12.79%"
"Aug 26, 2012","1.157","1.171","1.225","1.120","-2.28%"
"Aug 19, 2012","1.184","1.344","1.405","1.138","-9.55%"
"Aug 12, 2012","1.309","1.207","1.405","1.181","8.81%"
"Aug 05, 2012","1.203","1.240","1.301","1.173","-1.88%"
"Jul 29, 2012","1.226","1.207","1.246","1.053","1.74%"
"Jul 22, 2012","1.205","1.205","1.205","1.205","22.83%"
"Jul 15, 2012","0.981","0.981","0.981","0.981","-8.74%"
"Jul 08, 2012","1.075","1.075","1.075","1.075","-6.36%"
"Jul 01, 2012","1.148","1.148","1.148","1.148","-19.33%"
"Jun 24, 2012","1.423","1.423","1.423","1.423","1.57%"
"Jun 17, 2012","1.401","1.401","1.401","1.401","11.37%"
"Jun 10, 2012","1.258","1.258","1.258","1.258","9.39%"
"Jun 03, 2012","1.150","1.150","1.150","1.150","14.43%"
"May 27, 2012","1.005","1.005","1.005","1.005","-16.11%"
"May 20, 2012","1.198","1.198","1.198","1.198","-3.54%"
"May 13, 2012","1.242","1.242","1.242","1.242","-6.83%"
"May 06, 2012","1.333","1.333","1.333","1.333","-3.96%"
"Apr 29, 2012","1.388","1.388","1.388","1.388","-7.53%"
"Apr 22, 2012","1.501","1.501","1.501","1.501","-2.53%"
"Apr 15, 2012","1.540","1.540","1.540","1.540","0.06%"
"Apr 08, 2012","1.539","1.539","1.539","1.539","-1.22%"
"Apr 01, 2012","1.558","1.558","1.558","1.558","-4.42%"
"Mar 25, 2012","1.630","1.630","1.630","1.630","-4.29%"
"Mar 18, 2012","1.703","1.703","1.703","1.703","-9.41%"
"Mar 11, 2012","1.880","1.880","1.880","1.880","16.77%"
"Mar 04, 2012","1.610","1.610","1.610","1.610","-0.56%"
"Feb 26, 2012","1.619","1.619","1.619","1.619","-4.88%"
"Feb 19, 2012","1.702","1.702","1.702","1.702","-3.24%"
"Feb 12, 2012","1.759","1.759","1.759","1.759","-1.24%"
"Feb 05, 2012","1.781","1.781","1.781","1.781","1.02%"
"Jan 29, 2012","1.763","1.763","1.763","1.763","3.77%"
"Jan 22, 2012","1.699","1.699","1.699","1.699","-4.50%"
"Jan 15, 2012","1.779","1.779","1.779","1.779","11.61%"
"Jan 08, 2012","1.594","1.594","1.594","1.594","-5.34%"
"Jan 01, 2012","1.684","1.684","1.684","1.684","1.26%"
"Dec 25, 2011","1.663","1.663","1.663","1.663","-6.78%"
"Dec 18, 2011","1.784","1.784","1.784","1.784","3.48%"
"Dec 11, 2011","1.724","1.724","1.724","1.724","-11.68%"
